DAY,BTC,ETC,EOS
0,0,25256,25103
1,0,50688,38078
2,0,81708,52440
3,0,115750,62677
4,0,139197,70877
5,0,157559,79775
6,0,172651,197551
7,0,189176,212013
8,1,209709,272238
9,7,235770,335063
10,7,264345,387190
11,8,288272,433638
12,16,307073,455999
13,18,326278,571951
14,18,345207,585556
15,19,361079,597460
16,21,378493,710152
17,22,394279,776971
18,24,410401,1057706
19,25,425868,1202449
20,26,440295,1418227
21,27,455217,1533810
22,28,470139,1671415
23,29,488102,1807789
24,30,502562,1962122
25,30,515361,2083496
26,31,527921,2216401
27,31,540885,2380985
28,32,553547,2513142
29,33,567050,2661965
30,34,580983,2786198
31,50,593873,3393715
32,50,606804,4070237
33,50,619166,4424131
34,50,630816,5360391
35,54,642524,7622651
36,55,654292,10857917
37,56,667152,13065589
38,56,680243,19387196
39,58,695600,26129976
40,58,718558,34437297
41,58,731042,40203521
42,58,743805,47229835
43,61,757798,54775018
44,62,772494,61942224
45,62,790808,68883367
46,62,806852,76157821
47,63,821903,83236323
48,63,834699,86934570
49,63,849101,92588447
50,67,863919,101005269
51,67,878243,109088457
52,67,892394,116359879
53,67,906769,124021052
54,67,921542,132237273
55,68,935999,140599379
56,69,949358,147814769
57,69,963133,151178838
58,69,976606,157164452
59,71,991088,164555213
60,73,1006095,171318885
61,74,1019515,178677229
62,74,1030570,185484183
63,74,1043280,192822034
64,77,1055784,200489187
65,77,1068260,209179988
66,77,1080660,217656207
67,77,1093309,225264719
68,78,1107015,228501961
69,79,1119790,231417916
70,79,1134129,236114376
71,79,1148263,244076505
72,80,1162632,251699148
73,80,1178013,258216843
74,82,1193268,260653090
75,82,1207758,267455585
76,83,1221802,274365329
77,83,1236001,281088494
78,85,1250273,283695475
79,85,1264295,289469487
80,85,1281360,295116521
81,85,1308950,300453125
82,86,1331325,304951311
83,86,1348099,308404219
84,89,1365975,312751845
85,89,1385946,316962389
86,89,1404292,321342848
87,90,1423751,326117928
88,90,1445278,331166228
89,90,1465057,332070550
90,90,1481595,337148222
91,90,1498862,340305933
92,92,1514690,346220026
93,92,1529301,351030344
94,92,1546191,352238411
95,92,1563478,352972550
96,92,1579921,353595548
97,92,1594055,354213125
98,93,1606957,355016966
99,95,1622396,355731019
100,96,1637737,356555670
101,96,1649990,357522393
102,96,1660373,358513876
103,96,1669833,359484676
104,96,1680994,360592032
105,100,1691518,361721437
106,101,1703488,362874427
107,103,1715134,363926842
108,104,1725969,365124023
109,104,1736278,366254745
110,104,1746771,367158001
111,104,1758126,368067955
112,104,1770404,369199438
113,106,1781786,370487699
114,106,1793541,371904252
115,106,1804620,373788158
116,107,1815700,375165845
117,107,1826372,376638131
118,107,1836166,378099546
119,109,1846195,379767816
120,112,1856974,381886078
121,113,1867782,383762791
122,114,1875466,385973007
123,114,1884674,387993747
124,114,1899032,389972619
125,114,1908300,392303124
126,114,1917318,394806723
127,114,1927536,396792799
128,115,1937470,397969848
129,115,1947348,399784178
130,120,1958081,402377864
131,123,1969806,405903450
132,124,1982807,410232827
133,124,1994340,413972789
134,124,2008387,417680850
135,124,2024606,421216341
136,124,2037562,424828104
137,124,2050562,429537916
138,124,2063997,433309220
139,124,2079490,437994071
140,124,2095880,442515659
141,124,2112371,446629266
142,124,2128329,450648400
143,124,2146996,454484678
144,124,2168101,458971298
145,124,2190984,463661597
146,125,2211031,468560401
147,125,2229862,472888482
148,125,2250793,476884515
149,126,2272180,481279934
150,126,2290782,485520599
151,126,2307504,489568479
152,126,2321909,494095609
153,126,2337143,501196744
154,126,2352601,508501972
155,126,2368169,516497063
156,126,2383845,523816499
157,126,2399295,530835412
158,126,2417295,536239959
159,126,2437703,540690260
160,126,2455528,545910672
161,126,2471680,551527408
162,126,2488610,556688613
163,126,2506080,562976349
164,126,2524215,570723903
165,126,2542942,578508167
166,126,2560828,586638828
167,126,2578019,593873973
168,126,2595763,600981501
169,126,2614721,608012663
170,127,2633616,615150875
171,127,2649565,621396009
172,129,2677648,627852140
173,130,2696755,634785911
174,130,2714308,640942176
175,130,2731072,646763982
176,131,2748346,653200571
177,133,2766068,659640481
178,133,2784157,666271959
179,134,2802942,673247604
180,135,2822506,679848373
181,135,2842337,686290530
182,135,2862009,692912499
183,135,2881666,700140051
184,135,2901758,706711781
185,135,2921755,713203042
186,135,2940131,719421687
187,135,2957482,726148623
188,135,2973835,732007042
189,135,2989989,738127212
190,135,3005909,742862268
191,135,3021902,746459185
192,135,3038742,750733786
193,135,3055619,757124701
194,135,3072805,762715464
195,135,3089623,768331287
196,135,3105669,773690494
197,135,3123857,778706585
198,136,3143593,784539382
